name,date,time,weight,bellyscore,feeding
L-102,1998-05-05,17:56,31.2,N,
L-102,1998-05-17,9:34,32.8,N,
L-102,1998-05-20,18:53,31.4,N,
L-102,1998-05-23,16:59,29.5,N,
L-102,1998-05-28,18:12,32.6,N,
L-102,1998-05-30,18:09,33.1,N to F,
L-102,1998-05-31,17:21,30.9,N,
L-102,1998-06-03,8:41,34.8,F,
L-102,1998-06-03,18:15,33.6,F,
L-102,1998-06-04,8:39,31.9,N,
L-102,1998-06-10,12:26,31.7,N,
L-102,1998-06-18,18:17,35.8,F,
L-102,1998-06-20,17:57,38.3,B,
L-102,1998-06-29,17:40,34.9,N,
L-102,1998-07-04,17:44,34.7,N,
L-102,1998-07-08,10:24,32.6,N,
L-102,1998-07-09,8:48,36.5,F,
L-102,1998-07-13,9:49,32.7,N,
L-102,1998-07-19,17:24,40.6,F to B,
L-102,1998-08-07,17:05,37.2,N,
L-102,1998-08-17,16:54,35.4,N,
L-102,1998-08-28,18:39,38.3,F,
L-102,1998-08-30,17:11,40.9,F,
L-102,1998-08-31,18:26,36.5,N,
L-102,1998-09-01,17:57,35.7,N,
L-102,1998-09-19,18:18,35.5,N,
L-102,1998-10-03,18:28,35.8,N,
L-102,1998-10-12,7:06,32.8,N to T,
L-102,1998-10-19,9:05,33.6,N to T,
L-102,1998-10-20,8:22,40.8,B,
L-102,1998-10-29,7:07,32.7,N,
L-102,1998-12-05,18:42,40.8,N to F,
L-102,1998-12-06,18:09,40.6,N to F,
L-102,1998-12-22,18:02,43.4,N,
L-102,1999-04-22,18:24,47.6,N to F,
L-102,1999-04-23,10:37,46,N,
L-102,1999-04-23,18:25,53.4,B,F
L-102,1999-04-25,6:46,50.2,F,
L-102,1999-05-04,7:59,47.1,N,
L-102,1999-05-08,8:53,45.2,N,
L-102,1999-05-09,9:03,54,F to B,
L-102,1999-05-10,8:37,50.8,N to F,
L-102,1999-12-13,17:11,53.3,N,
L-102,2000-01-10,17:10,58,N,
L-102,2000-02-16,6:56,62.2,N to F,
L-102,2000-03-04,8:28,69.8,B,
L-102,2000-09-04,8:10,68.9,N to F,
L-102,2000-09-08,7:27,64.3,N to F,
L-102,2000-09-11,18:45,62,N,
L-102,2000-09-17,6:59,70,F,
L-102,2000-09-20,18:33,63.3,N,
L-102,2000-09-30,7:56,66,N,
L-102,2000-10-03,18:22,64.3,N,
L-102,2000-10-07,8:08,68.8,N to F,
L-102,2000-10-10,21:54,65.6,N,
L-102,2000-10-14,6:42,65,N,
L-102,2000-10-15,18:28,64.2,N,
L-102,2000-10-21,17:48,67.6,N,
L-102,2000-10-27,18:42,67.2,N,
L-102,2000-10-30,7:16,73.4,B,F
L-102,2000-11-07,17:58,68.1,N,
