injuryID,date,time,ID,description,cause,bodypart,sizeincm,consequences,comments,observer
in0791,2013-11-28,7:00,E-cub,"coughing quite a lot, white-yellowish discharge in and around nostrils",disease,,,,,
in0792,2013-11-30,6:40,E-cub,still coughing quite a lot,disease,,,,,
in0793,2014-04-30,9:50,S-208,"large piece of skin missing on fore head, already dry",?,front,4x5,-,see pictures,
in0794,2014-05-10,8:00,L-329,"RHL lower part seems broken, knickt ein when she walks",?,,,,,
in0795,2014-05-11,7:25,S-193,limping slightly with RFL,?,,,,,
in0796,2014-05-13,7:25,L-442,"streptococcus swelling on left side of face/cheek, is a bit lethargic, moves very little, puts head down very slowly after looking up while lying on side","disease, Streptococcus",left side face/cheek,,"is lethargic, moves head only very slowly",,
in0797,2014-05-21,8:00,L-336,severe Streptococcus swelling,"disease, Streptococcus","left side face/cheek, neck",severe swelling,"is lethargic, gets up with difficulties, walks slowly",see pictures + video,
in0798,2014-06-17,8:22,L-329,"RHL lower part seems broken, she does not use the leg",?,,,,,
in0799,2014-11-29,7:25,E-220,right side cheek-neck slightly swollen,"disease, Streptococcus","right side face/cheek, neck",swelling not large but visible,seems to wa slighly more slowly than usual,found dead on 141204 with severe swelling on head/neck region,
in0800,2014-11-29,11:20,E-153,"right ear badly mauled, large chunk of backside bitten off, fresh",hy,"right ear, mainly backside",2x5,"washes wound in river, keeps ear lower",,
,2014-11-30,6:35,E-244,"dead, with signs of Streptococcus infection","disease, Streptococcus",,,,,
in0801,2014-12-08,9:20,A-150,"quite large patch without skin on right shoulder, not fresh i.e. already healed",li?,right side shoudler,3x7,-,,
in0802,2015-01-09,8:48,L-377,"fresh wound/puncture hole on left foot, limping quite badly",hy?,left foot,,limping quite badly,,
in0803,2015-08-07,9:02,F-147,limping with LFL,NA,LFL,NA,limping quite badly,,
in0804,2015-08-25,7:25,M-194,"quite fresh wound on right hind foot, limping",hy?,right hind foot,2x3,"limping quite badly, resting close to den, no other Ngoitokitoks around",,
in0805,2015-08-28,7:52,M-296,"fresh open wound on front between ears, bleeding",eq?,front,4x2,,"probably got wound when killing ad eq earlier in the morning, or when feeding on it",
in0806,2015-08-29,9:48,L-413,"streptococcus swelling on right side of face/cheek, is resting at den with other high-ranking females, does not seem to be particularly impaired but only seen for short while","disease, Streptococcus",right side face/cheek,swelling not large but visible,,see pictures,
in_20160408_0917_A-374,2016-04-08,9:17,A-374,"injured on hip, large, deep puncture holes",,,,,,OH+PN
in0807,2016-11-22,7:43,L-191,both lower canines only stump left,,,,,,
in0808,2016-11-22,9:09,E-184,"limping badly with RHL, not standing on leg",,RHL,,limping badly,,
in0809,2016-12-01,15:26,M-267,both front shoulders broken or dislodged?,,both front legs/shoulders,,"cannot get up and walk any more, keeps stumbling over/falling on his chest, sometimes manages to make a few steps but does not seem to be able to coordinate his front legs properly. Unclear whether he has other wounds/injuries, i.e. whether the cause could be lions, a vehicle, or a disease.",seen and video recorded by people from Lemala gate,
in0810,2016-12-02,8:02,L-160,several quite fresh wounds around and between both ears,hy,around and between both ears,,,,
in0811,2016-12-04,9:39,L-466,RFL/ellbow broken,,RFL/ellbow,,"limping badly, only very rarely stands on leg.",,
in0812,2016-12-12,17:14,S-277,"discharge in left eye, eye almost completely closed",,right eye,,eye almost completely closed,see pictures,
in0813,2016-12-12,17:14,S-280,"discharge in left eye, eye almost completely closed",,right eye,,eye almost completely closed,see pictures,
in0814,2016-12-14,6:45,S-275,"discharge in both eyes, but eyes open",,both eyes,,,,
in0815,2016-12-14,6:45,S-277,"discharge in left eye, eye almost completely closed",,right eye,,eye almost completely closed,,
in0816,2016-12-14,6:45,S-280,"discharge in left eye, eye almost completely closed",,right eye,,eye almost completely closed,,
in_20170615_1212_X-116,2017-06-15,12:12,X-116,"severely injured, next to two adult male lions, seen by Roimen, assistant of Ingela Jansson",,,,,,
,2017-09-14,11:34,L-151,"snare around neck, deep",snare,neck,,"tired, walking slowly",see pictures,PN
in_20171023_1618_M-437,2017-10-23,16:18,M-437,limping badly with RHL,,RHL,,,,
,2017-11-02,16:00,F-204,"fresh wounds on pseudopenis and around udder, pseudopenis swollen",HY?,"pseudopenis, udder",various,pseudopenis swollen,see pictures,OH
in_20171119_0658_M-425,2017-11-19,6:58,M-425,breathing hardly ,,,,,,
in0817,2018-02-23,8:58,N-190,"rub marks on both sides of udder, N-190 bloated. Cubs were getting thin, waiting at den for return of mother.",commuting,"udder, both sides",3x3,,see pictures,
in0818,2018-02-23,8:00,F-259,limping with RFL,NA,RFL,NA,limping quite badly,,AD
in0819,2018-03-14,7:45,F-209,limping with RFL,NA,RFL,NA,limping badly ,not interacting with any other clan members (resting alone),AD
in0820,2018-04-02,14:04,A-328,paralyzed,vehicle collision,spine,NA,"paralysis, unable to stand up or walk","lying beside road since 07:00 according to tourists. Unable to walk or stand upright. Shallow, rapid breathing. Next day, body not found, but many hyena tracks from Airstrip territory leading to and from this area. Almost certainly was killed overnight.",AD
in_20180409_1732_M-274,2018-04-09,17:32,M-274,relaxed but limping and looking thin,,,,,,AD
in_20180413_0913_S-182,2018-04-13,9:13,S-182,left eye badly injured,,,,,,AD
