injuryID,date,time,ID,description,cause,bodypart,sizeincm,consequences,comments,observer
in0001,1996-04-16,11:27,M-041,"wound, skin hanging down",snare,LHL,4x4,"limping badly, not standing on the leg",,
in0002,1996-04-24,17:47,M-041,"wound, skin around leg ripped down",snare,LHL,6cm of skin ripped down,"not limping when WA, but LO with 3 legs only",,
in0003,1996-04-25,15:50,M-002,wound,,LHL,1.5x1.5,none,,
in0004,1996-04-25,16:10,M-005,"pinkish ""wound""",,tip of penis and bum,1x1 and 3x1 resp,none,visible when she lifts tail,
in0005,1996-04-26,17:15,M-001,wound left side belly,,left side belly,2x2,none,,
in0006,1996-04-28,16:05,M-006,"split penis, refuses to SU M-087 + M-088",gives birth 19.06.96,penis,-,none,,
in0007,1996-04-28,16:11,M-006,2 cuts and split pseudopenis,,"LHL, outside and pseudopenis","cuts: 4, pseudopenis: 5",none,,
in0008,1996-04-28,17:14,M-043,"swollen foot, cripple foot",,RHL,-,"limping badly, not standing on the leg",,
in0009,1996-06-05,16:25,M-008,wound,,20cm above tail root,7x5,none,,
in0010,1996-06-07,7:07,M-086,?,,LHL,-,"limping badly, not standing on the leg",,
in0011,1996-06-14,10:20,L-040,wound,,"back, right side",4x6,none,,
in0012,1996-06-20,10:00,M-041,wound,snare,LHL,,limping when getting up,wound again open and bleeding,
in0013,1996-06-20,10:06,M-008,open wound,,"back, right side",4x3,none,,
in0014,1996-06-23,10:04,A-001,"2 puncture holes, 20cm apart",WI (horns),LHL,2x3 and 2x2 resp,limping,"is EA from WI head, prob killed by her and 7 other Airstrips",
in0015,1996-07-10,6:51,L-006,"open wound, swollen",,RFL,3x7,limping,,
in0016,1996-07-10,,L-092,"scars, bold patches",L-091,"neck, shoulder",1x1,none,,
in0017,1996-07-13,8:21,S-044,?,,RFL,-,limping,,
in0018,1996-07-16,8:55,S-004,"fresh wounds around ear, on head, bleeding",was attacked by Lemalas,"head, neck",,"bleeding, seems depressed",,
in0019,1996-07-17,8:48,A-004,"wound, deep cuts",,above eye to nose and below ear to nose,15 and 3x8 resp,"both eyes half closed, can hardly see and hear",her head and ears are covered in dust,
in0020,1996-07-19,8:32,L-006,"open wound, fresh",,RFL,3x8,limping,,
in0021,1996-07-20,9:38,A-084,"cut, blood around",,left shoulder,10,none,"tried to LK wound, but couldn't reach it properly",
in0022,1996-07-29,9:40,S-002,fresh wound,LI ?,"left shoulder, RFL",15,none,"LI adf L next to freshly killed WI, 150m from S-002",
in0023,1996-07-31,8:29,S-001,Fadennarbe,,RHL,-,limping,,
in0024,1996-08-05,10:35,M-015,swollen penis,copulation ?,penis,-,none,,
in0025,1996-08-06,18:13,L-002,lower jaw dislocated,EQ ?,"lower jaw, left side",-,none,,
in0026,1996-08-10,7:37,L-008,"open wounds, fresh",,"behind right ear, neck, right shoulder, above left shoulder",7x7 (right shoulder),none,,
in0027,1996-08-20,8:50,L-008,wound,,right shoulder,2x2,none,,
in0028,1996-08-31,16:46,M-012,split penis,gives birth 21.03.97,penis,-,none,,
in0029,1996-09-02,10:25,L-012,swollen penis,,penis,-,none,,
in0030,1996-09-15,7:28,M-005,"wound, cut",,"back, right side",1x10,none,,
in0031,1996-09-17,14:46,L-001,wound,,LHL,4x4,none,,
in0032,1996-09-22,13:30,M-001,swelling,infection ?,"udder, left side",-,none,,
in0033,1996-09-26,8:30,L-013,?,,LHL,-,"limping, not standing on this leg",3.10.96 WA without problems,
in0034,1996-09-26,18:20,L-013,"last 4cm of penis, front part, pinkish",,penis,-,none,,
in0035,1996-09-28,11:41,L-005,small wounds,,LHL and neck,1x1 each,"limping badly, not standing on the leg",,
in0036,1996-12-29,10:08,A-056,"open wound, two small holes",may have faught over Hippo skin with A-046,RHL,1x1 each,none,,
in0037,1997-01-04,6:46,M-092,wound with three open spots,,right shoulder,"1x1, 1x2 and 2x2 resp",none,,
in0038,1997-01-06,17:46,L-013,"last 4cm of penis, front part, pinkish",,penis,-,none,,
in0039,1997-01-15,8:50,L-012,"2 puncture holes, ear deformed, wounds around ear",HY,right ear and back,1x1 each,"shaking head, ear held in strange position",,
in0040,1997-01-17,18:23,L-012,swelling,,between right ear and eye,10,"shaking head, ear held in strange position",,
in0041,1997-01-18,18:38,L-012,wound on ear,got BI by other HY at kill,right ear,bites,,,
in0042,1997-01-19,16:16,M-098,scars,M-099,left + right shoulder,1x1,none,,
in0043,1997-01-25,9:30,L-013,wound,,left shoulder,,limping,,
in0044,1997-02-03,17:32,L-041,wound on ear,HY,right ear,bites,none,,
in0045,1997-02-11,6:56,M-001,"swelling, toes separated",,right foot,-,limping with RHL,,
in0046,1997-02-12,8:45,M-096,"face deformed, blood in mouth, jaw broken",M-006 BI head of M-096,"head, jaws",-,"cannot close its mouth, cannot SU",,
in0047,1997-02-15,18:03,M-096,"face deformed, jaw broken, eye closed",M-006 BI head of M-096,"head, jaws, left eye",-,"cannot close its mouth, cannot SU, eye closed",,
in0048,1997-02-22,,L-041,"wound, festering",HY ?,"chest, right side",,none,,
in0049,1997-02-23,7:09,M-006,"wound, not deep, not bleeding",,"BHL, bum",3x2,none,,
in0050,1997-02-28,18:30,L-093,"eye dull, liquid comes out of eye",,right eye,-,closes eye often,,
in0051,1997-03-03,16:31,M-017,"swollen and split penis, GN into DH",gives birth 18.08.97,penis,-,none,,
in0052,1997-03-03,16:31,M-043,swollen penis,gives birth 11.06.97,penis,-,none,,
in0053,1997-03-05,7:05,L-004,last third of penis pink,gives birth 01.05.97,penis,-,none,doesn't actually look like split penis,
in0054,1997-03-10,9:49,A-004,rub marks,commuting,"udder, right side",6x15,none,,
in0055,1997-03-10,10:10,A-001,swollen penis,,penis,-,none,,
in0056,1997-04-04,9:22,L-012,"wounds, puncture holes",got BI by other HY,"neck, left side, left shoulder","6 holes, sholder 4x6 no fur",none,,
in0057,1997-04-07,9:18,E-040,"cut in lower eye lid, problem with RHL",,"right eye lid, RHL",1,"eye half closed, limping with RHL",,
in0058,1997-04-09,10:43,M-002,half of right ear lost,HY ?,right ear,-,none,,
in0059,1997-04-13,9:43,A-047,"puncture holes around ears, scratches LHL, balls of the right foot cut, balls of the left foot open",LI or HY,"left ear, between ears, feet",-,"is L around, probably limping badly","L close to LI-kill, but also close to M-008, M-017 + M-088 in M-terr",
in0060,1997-04-13,16:48,M-101,ear notch,M-102,left ear,1,none,,
in0061,1997-04-14,16:30,M-102,scars,M-101,tail,1,none,,
in0062,1997-04-15,16:38,M-042,"wounds, 2 cuts",,"cheek, left side",5,none,,
in0063,1997-04-16,9:20,A-014,rub marks,commuting,"udder, left and right side",6x15,"keeping legs apart when WA, no consequences for SU",,
in0064,1997-05-26,8:46,L-096,scars,L-097,"neck, shoulder",1x1,none,,
in0065,1997-05-27,7:03,M-103,scars,M-104,left shoulder,1x1,none,,
in0066,1997-05-27,7:30,M-052,?,,LFL,-,limping,,
in0067,1997-05-27,17:45,A-015,rub marks,commuting,"udder, right side",2x3,none (2 cubs SU),we did not see the left side of the udder,
in0068,1997-05-30,7:40,A-014,rub marks,commuting,"udder, left side",3x4,none (2 cubs SU),"we did not see the right side of the udder, udder was full when she came back to den",
in0069,1997-05-31,9:43,A-001,rub marks,commuting,"udder, left side",7x2,none (2 cubs SU),,
in0070,1997-06-11,8:28,M-103,"open wound, bleeding",M-104 BI her,left ear,-,none,,
in0071,1997-06-11,9:26,M-103,two spots without fur,M-104 BI her or M-012 who carried her out of DH,left shoulder,1x1,none,,
in0072,1997-06-11,10:32,L-098,scars,,"front, bum, shoulders",1x1,none,,
in0073,1997-06-12,8:38,L-005,swollen penis,gives birth 16.06.97,penis,-,none,may have given birth 4 days earlier...,
in0074,1997-06-14,6:45,L-099,scars,L-100,right shoulder,1x1,none,,
in0075,1997-06-14,6:45,L-100,scars,L-099,"belly, right side, HL, tail root",1x1,none,,
in0076,1997-06-28,8:00,L-015,cut,"while EA from EQ-carc, prob from sharp bone","front, above left eye",4x1,none,,
in0077,1997-07-02,10:33,A-014,rub marks,commuting,"udder, left side",2x2,none (2 cubs SU),,
in0078,1997-08-13,6:45,N-003,2 holes,,"RHL, lower part",3x2 and 2x2 resp,limping with RHL,,
in0079,1997-08-27,7:28,M-092,open wound,lions,"RHL, inside",6x2,none,,
in0080,1997-08-27,9:33,N-045,"open wound, bleeding",,behind left ear,2x2,,,
in0081,1997-08-30,9:49,M-005,?,,LHL,-,limping when LO,,
in0082,1997-09-01,6:39,L-044,ear notch,HY ?,right ear,-,none,,
in0083,1997-09-02,8:12,L-013,"cut, part of lower eye lid hanging down",HY ?,left eye,2x2,left eye nearly closed,,
in0084,1997-09-03,7:49,M-002,"open wound, fresh",,"left hind foot, upper side",3x3,limping,,
in0085,1997-09-08,6:40,M-105,wound,HY ?,behind ear to left eye down to mouth,-,"eye swollen, not entirely open",,
in0086,1997-09-10,11:30,L-009,wound,,around right nose hole,1x1,none,,
in0087,1997-09-27,18:05,M-103 ?,wound,,below right eye,1x1,part of eye swollen,,
in0088,1997-09-30,17:50,L-088,wounds,HY ?,between HLs around G,3x2,none (but licks wounds),,
in0089,1997-10-01,8:30,M-014,rub marks,commuting or other HY ?,"udder, left and right side",2x8,none (M-105 SU),,
in0090,1997-10-13,6:26,M-004,"open wound, fresh",prob by WI that she killed,"below throat, left side","25 long, 1-5 wide",limping,,
in0091,1997-10-17,22:40,M-008,,WI R over M-008,LHL,-,limping 5min,,
in0092,1997-10-21,15:08,N-008,open puncture wounds,HY ?,"around ears, neck and bum",-,"holds ears in strange position, limping",,
in0093,1997-10-21,15:08,N-003,swollen foot,,RHL,-,"limping badly, not standing on the leg",,
in0094,1998-01-18,8:30,M-008,?,,LHL,-,limping,,
in0095,1998-01-22,7:43,M-088,"open wound, fresh, blood dripping",bitten by M-007,penis,1-2 (hole) and 1x6 (cut),,,
in0096,1998-01-22,7:43,M-007,"wound fresh, part of right ear bitten off",bitten by M-088,right ear,2cm bitten off,none,,
in0097,1998-01-23,7:20,M-088,"open wound, fresh, hole (bleeding) and cut",bitten by M-007,penis and base of penis,1-2 (hole) and 1x6 (cut),"penis very swollen, hole bleeding, M-088 LK wounds",,
in0098,1998-01-30,18:10,M-114,"deep cut, open",,"neck, left side",1x6,none,,
in0099,1998-02-01,6:38,M-052,swelling,,"RFL, around knee",-,"limping badly, not standing on the leg",,
in0100,1998-02-01,9:20,L-011,?,,LHL,-,limping,,
in0101,1998-02-01,18:04,L-013,"open wound, blood dripping",got BI in lower lip by L-008 during GT,lower lip,2x2,none (blood dripping),,
in0102,1998-02-02,7:45,M-006,"wound, old/healed",HY ?,"bum, right side",4x6,none,,
in0103,1998-02-18,18:21,L-003,cut,,RFL,5x2,none (but flies in wound),,
in0104,1998-02-19,8:35,M-008,2 puncture holes 7cm apart,HY ?,"back, above HLs",3x3 and 3x3 resp,none,,
in0105,1998-02-19,9:00,M-007,swollen penis,copulation ?,penis,-,none,M-008 shadowing her,
in0106,1998-02-23,6:40,M-052,?,,RFL,-,"limping badly, not standing on the leg",,
in0107,1998-02-23,7:35,L-002,"eye dull, blind",,left eye,-,is probably blind on this eye,"02.04.98 we see her again, eye now completely white",
in0108,1998-02-24,8:20,M-091,"hole, not deep",,"back, right side",3x3,none,,
in0109,1998-02-26,7:11,M-006,"3 spots with 2 holes each, old",HY ?,"tail root, left and right side, above knee",2x2 each,none,,
in0110,1998-03-03,8:27,L-040,hole,,"back, above tail root",2x2,"WA slowly, carefully",,
in0111,1998-03-10,9:18,L-011,cut,,front of head,3x1,none,,
in0112,1998-03-30,7:17,M-043,swollen penis,,penis,-,none,,
in0113,1998-04-03,18:27,M-047,open wound,,"tail root, right side",2x2,none,,
in0114,1998-04-05,6:50,M-088,3 wounds,HY ?,"tail root, left and right side",2x2 each,none,,
in0115,1998-04-05,6:50,M-007,swollen penis,copulation ?,penis,-,none,M-008 shadowing her,
in0116,1998-04-13,18:15,L-040,2 puncture holes,,"above right hib, between right hib and tail root",2x2 and 4x4 resp,none,,
in0117,1998-04-19,10:15,L-009,"penis red, split, thick at base",,penis,-,none,,
in0118,1998-04-29,18:08,L-004,"cut, prob 2-3 days old",,"bum, left side",3x2,none,,
in0119,1998-05-04,6:53,M-046,skin of left lower jaw is hanging down,,"lower jaw, left side",7x15cm of skin,none,,
in0120,1998-05-04,9:44,L-014,"open wound, fresh (but not bleeding any more)",,"neck, right side",3x2,none,,
in0121,1998-05-04,18:08,L-004,swollen penis,gives birth 07.07.98,penis,-,none,,
in0122,1998-05-04,18:37,L-012,swollen penis,gave birth 25.04.98,penis,-,none,,
in0123,1998-05-08,6:31,M-007,swollen penis,copulation ?,penis,-,none,M-040 shadowing her,
in0124,1998-05-15,17:04,L-042,2 open wounds,,"right shoulder, LFL",2x2 and 3x2 resp,none,,
in0125,1998-05-15,17:49,L-009,2 puncture holes,HY ?,left shoulder,2x2,none,,
in0126,1998-05-16,8:15,M-082,swollen penis,gives birth 11.12.98,penis,-,none,M-052 shadowing her,
in0127,1998-05-16,11:35,M-047,cut,,"back, right side",1x3,none,,
in0128,1998-05-17,10:50,M-099,"2 wounds, not fresh",HY ?,LHL,1x1 and 3x2 resp,none,,
in0129,1998-05-18,9:18,M-007,swollen penis,copulation ?,penis,-,none,M-040 shadowing her,
in0130,1998-05-18,11:00,M-040,"puncture holes, not fresh",HY,"RHL, bum",1x1 and 1x2 resp,"limping with RHL, hib, licks wounds, WA in strange way",,
in0131,1998-05-20,18:20,M-047,puncture hole,HY ?,"back, left side",2x3,none (but licks wound),,
in0132,1998-05-23,18:10,L-009,"open wounds, not of today",,"neck, left side",1x1 and 2x3 resp,none,,
in0133,1998-05-23,18:26,L-042,"puncture holes, not very fresh",HY ?,"above left shoulder, behind right shoulder",1x1 and 1x1 resp,none,,
in0134,1998-05-24,19:06,M-008,"severe wounds on head and legs, fresh",HY,"both ears bitten off, holes on both sides of hib","holes: 3x4, 4x5 and 3x4 resp","WA slowly, seems psychologically destroyed. 07.08.98 seen again, all wounds healed except pink spot between ears (not open)",,
in0135,1998-05-27,9:38,L-084,right eye dull,,right eye,-,none,,
in0136,1998-05-27,17:00,L-004,2 puncture holes,HY,back,1x1 each,none,,
in0137,1998-05-30,16:50,L-011,puncture hole,HY,"back, left side",2x2,none,,
in0138,1998-05-30,17:18,L-008,puncture hole,HY,back,2x2,none,,
in0139,1998-06-08,16:55,L-041,3 puncture holes,HY,RFL and LHL,2x2 each,none,,
in0140,1998-06-08,17:36,N-043,"right eye dull, blind",HY,right eye,-,is probably blind on this eye,,
in0141,1998-06-13,9:56,L-005,"swelling, Kropf",,"neck, lower jaw",10x10,"a lot of yellowish saliva comes out of MU, seems o.k. again on 20.06.98",,
in0142,1998-06-14,7:40,N-046,open wound,HY,"RHL, hib",7x7,none,,
in0143,1998-06-14,8:00,M-040,puncture hole,HY,"bum, above tail",2x2,none,,
in0144,1998-06-17,17:30,N-006,open wounds,,"udder, left side, LHL, RFL, left ear, tail root, right side","3x3, 2x3, 3x3, 2x7, 2x2, 1x1, 2x2, 2x2 and 1x2 resp",none,,
in0145,1998-06-20,6:40,M-081,"wound around eye, fresh",,right eye,1cm around eye,none,,
in0146,1998-06-20,6:45,N-046,open wound,HY,RHL,3x3,none,,
in0147,1998-06-29,10:30,M-106,"large wound, a few days old, infected",LI,"shoulder, left and right",,seems not in good condition,,
in0148,1998-07-09,10:08,L-013,,,LHL,-,"limping badly, not standing on the leg",,
in0149,1998-07-10,8:11,M-092,"2 puncture holes, fresh",HY,LHL,1x1 each,none,,
in0150,1998-07-18,7:36,M-006,swollen penis,gave birth 17.06.98,penis,-,none,,
in0151,1998-07-18,9:09,M-106,"wound seems almost healed, but still flies on one hole",,"shoulder, left and right",,none,,
in0152,1998-08-05,17:43,L-010,swollen penis,gave birth 30.07.98,penis,-,none,,
in0153,1998-08-06,7:00,M-082,"wound, 2-3 days old",,neck,6x4,none,,
in0154,1998-08-09,7:20,L-005,?,,RHL,-,limping,,
in0155,1998-08-18,6:43,M-082,swollen penis,gives birth 11.12.98,penis,-,none,,
in0156,1998-08-28,7:03,M-082,swollen penis,gives birth 11.12.98,penis,-,none,,
in0157,1998-08-28,17:50,A-041,3 puncture holes,,"neck, left side",1x1 each,none,,
in0158,1998-08-29,17:50,M-098,coughing,disease,,-,coughing,,
in0159,1998-08-29,18:05,M-104,coughing,disease,,-,coughing,,
in0160,1998-08-30,10:15,A-046,"open wound, not bleeding any more",HY ?,"bum, right side",3x3,none,,
in0161,1998-08-31,18:25,L-102,"wounds, puncture hole",HY ?,"nose, front and right ear","1x4, 1x1 and 2x4 resp",none,,
in0162,1998-09-19,16:55,L-109,"puncture hole, fresh",HY ?,"neck, left side",1x1,none,,
in0163,1998-10-02,18:35,M-007,swollen penis,copulation?,penis,-,none,,
in0164,1998-10-03,8:30,L-005,"puncture hole, fresh",EQ ?,"bum, right side",2x2,none,L-005 just killed an ad EQ and EA it,
in0165,1998-10-13,7:41,A-016,swollen penis,gave birth 15.06.98,penis,-,none,,
in0166,1998-10-19,9:20,L-014,"puncture holes, 1-3 days old",HY,around left ear,1x1 each,holds ears in strange position,,
in0167,1998-10-21,7:10,E-043,"swollen penis, teats still small",copulation?,penis,-,none,,
in0168,1998-10-26,17:38,M-102,"fresh wounds, big puncture holes, blood dripping",LI ?,"belly, right side, LHL",2x2 each,licks wounds,,
in0169,1998-10-29,6:25,M-082,big teats,,teats,-,none,,
in0170,1998-12-10,7:19,M-081,swollen penis,gives birth 05.04.99,penis,-,none,,
in0171,1998-12-11,6:18,M-082,swollen penis,gives birth 11.12.98,penis,-,none,"teats also visible, LD next to a DH",
in0172,1998-12-11,16:52,L-108,"open wounds, 1-3 days old",,LHL,10x5,limping,,
in0173,1998-12-13,10:18,L-042,swelling (abscess?) on belly,,belly underside,,none,,
in0174,1998-12-13,10:32,A-084,open wound,,"bum, left side",5x5,none,,
in0175,1998-12-17,8:18,A-080,swollen penis,copulation?,penis,-,none,,
in0176,1998-12-23,17:55,M-016,"very thin, bones of hib visible, WA in strange way, seems very weak",disease,,-,"she was WA very slowly, couldn't WA straight, HLs seem to have no power any more, several times she just stood there before LD, then WA 200m and LD again. She had no milk any more, so probably lost her cub.",,
in0177,1999-03-30,15:41,M-091,large teats visible,gave birth 25.03.99,teats,-,none,,
in0178,1999-03-30,15:41,M-081,swollen penis,gives birth 05.04.99,penis,-,none,teats also visible,
in0179,1999-04-06,17:10,A-087,puncture holes,HY,"RHL, 1 ball of foot, tail root",2x2 each,limping,,
in0180,1999-04-12,6:40,M-113,greenish-yellowish slime below eyes,,both eyes,2x3,none,,
in0181,1999-04-13,6:50,M-116,"greenish-yellowish slime below left eye, eye slightly swollen",,left eye,2x3,none,,
in0182,1999-04-17,9:10,L-014,"half of right ear lost, new ear notches on left ear, swelling on right cheak",HY ?,"ears, cheak, right side",-,none,,
in0183,1999-04-18,6:50,L-040,big open wound,HY ?,LHL / hib,10x5,none,,
in0184,1999-04-22,8:03,N-042,trembling with HLs,"is wet, was in Munge river",both HLs,-,trembling with HLs,,
in0185,1999-04-22,17:58,A-084,open wound,,"RHL, inside",5x5,none,,
in0186,1999-04-25,16:42,L-100,"puncture holes, few days old",LI or HY ?,"3 holes RHL, 1 hole bum","2x1, 1x1, 1x1 and 2x2 resp",none,,
in0187,1999-04-25,18:23,L-010,puncture holes,HY ?,"3 holes back, left side, 1 hole above left teat",1x1 each,none,,
in0188,1999-04-29,15:15,M-136,bold patches almost entirely covered with hair again,,,-,none,,
in0189,1999-04-29,15:15,M-137,bold patches almost entirely covered with hair again,,,-,none,,
in0190,1999-05-01,6:46,X-007,wound,HY,above tail root,3x3,none,,
in0191,1999-05-01,18:03,M-017,graze,,RHL,10x4,none,,
in0192,1999-05-06,9:08,E-004,fresh wound,,above hib,3x3,none,,
in0193,1999-05-09,9:30,A-084,"long cut, fresh",,upper jaw,3x10,none,,
in0194,1999-05-12,9:37,L-093,?,,LFL,-,limping,,
in0195,1999-05-19,15:22,L-093,open wound,,"head, front",2x2,none,,
in0196,1999-05-23,7:00,M-099,"swollen penis, when erected, slightly ripped",copulation ?,penis,-,none,,
in0197,1999-05-26,7:11,M-098,slightly swollen penis,copulation ?,penis,-,none,,
in0198,1999-05-27,17:58,M-040,coughing,disease,-,-,coughing,,
in0199,1999-05-30,16:34,M-100,"swollen penis, when erected, slightly ripped",gives birth 02.09.99,penis,-,none,,
in0200,1999-05-30,,M-126,?,,RFL,-,limping,,
in0201,1999-06-09,8:30,M-104,white spots / warts in face,stress,"MU, between eyes",0.3x0.3,none,,
in0202,1999-11-28,10:53,A-057,"open wound, fresh, bleeding",,left shoulder,-,limping with LFL,,
in0203,1999-11-28,10:53,S-043,"both ears bitten off, not fresh",HY ?,both ears bitten off,-,none,,
in0204,1999-11-28,17:00,L-042,?,,RHL,-,limping,,
in0205,1999-11-29,18:30,A-010,"ear held in strange position, wounds healed",HY,right ear,-,"she cannot cock the ear, in front of the ear 4 pinkish healed puncture holes",,
in0206,1999-12-03,8:35,F-001,"HL lame, seems in bad condition",disease,RHL skinny,-,"lethargic when GU, RHL lame",,
in0207,1999-12-05,8:53,E-083,"swollen, split penis",,penis,-,none,,
in0208,1999-12-07,,M-099,small teats visible,gives birth 12.01.00,teats,-,none,,
in0209,1999-12-08,7:41,A-057,"wounds, 5 puncture holes",HY,above hibs,2x2 each,none,,
in0210,1999-12-13,10:36,L-102,swollen penis,gives birth 11.04.00,penis,-,none,"was digging a hole, then LD",
in0211,1999-12-22,6:55,M-099,has teats,,teats,-,none,,
in0212,1999-12-26,8:07,M-098,"swollen penis, but teats still not visible",copulation ?,penis,-,none,,
in0213,2000-01-07,18:58,L-087,split pseudopenis,HY / copulation ? gives birth 14.06.00,"penis, half way down",2x2,L-087 constantly LK her penis,"L-040 next to her, behaving as if he wants to copulate, but she doesn't seem interested",
in0214,2000-01-09,7:20,M-098,swollen penis,copulation ?,penis,-,none,A-056 shadowing her,
in0215,2000-01-09,9:48,L-087,swollen penis,gives birth 14.06.00,penis,-,none,,
in0216,2000-01-11,7:00,N-087,swollen penis,,penis,-,none,,
in0217,2000-01-12,9:23,L-101,"swollen penis, teats visible",gives birth 23.03.00,penis,-,none,,
in0218,2000-02-10,8:44,L-102,large teats visible,gives birth 11.04.00,penis,-,none,,
in0219,2000-02-10,9:05,E-080,has teats,,teats,-,none,,
in0220,2000-02-10,9:08,S-041,open wounds,HY ?,"above tail root, both sides",10x8 each side,none,,
in0221,2000-02-10,9:08,E-080,"wounds, puncture holes",HY ?,around both ears,-,holds right ear down,,
in0222,2000-02-11,18:41,E-040,puncture hole,HY ?,"hib, right side",5x3,none,,
in0223,2000-02-11,18:41,E-006,"swollen penis, teats visible",gives birth 12.09.00,penis,-,none,,
in0224,2000-02-21,8:56,X-012,eye dull,,left eye,-,seems to be able to see with left eye,,
in0225,2000-02-21,17:40,M-047,"deep open wound, about 2 days old",HY ?,"bum, left side",6x2,none,,
in0226,2000-02-24,9:53,L-087,"slightly swollen penis, teats visible",gives birth 14.06.00,penis,-,none,,
in0227,2000-02-25,16:58,L-101,"large teats visible, penis does not seem to be split",gives birth 23.03.00,penis,-,none,,
in0228,2000-02-27,9:05,E-083,split penis,,penis,-,none,,
in0229,2000-02-28,7:03,A-114,?,,LHL,-,limping,,
in0230,2000-02-28,17:24,E-092,bold patches,mange ?,back,25x15,none,did not look like biting wounds from dominant sib E-091,
in0231,2000-02-28,18:28,M-082,"swollen, split penis",,penis,-,none,,
in0232,2000-02-29,8:04,A-118,"broken lip, piece hanging down",HY,left lower lip,"2x1, 1x1, 1x1 and 2x2 resp",none,,
in0233,2000-03-02,7:05,A-100,open wounds,HY ?,"between ears, tail root, right side",3x3 and 6x2 resp,holds ears in strange position,,
in0234,2000-03-03,10:50,L-112,cut,,above right eye,2x1,none,,
in0235,2000-03-06,9:20,M-007,swollen penis,gives birth 09.03.00,penis,-,none,,
in0236,2000-03-13,10:10,F-002,slightly swollen penis,,penis,-,none,,
in0237,2000-03-15,7:25,F-087,"cut or puncture hole, bold area around wound",HY ?,between hibs,"cut: 1x4, bold area: 20x25",none,"cut looked healed, mouth looked a bit damaged",
in0238,2000-03-19,8:05,L-010,split penis,,penis,-,none,,
in0239,2000-09-03,7:06,M-100,?,,RHL,-,"limping badly, not standing on the leg",,
in0240,2000-09-07,18:30,L-137,"limping, coughing",,RHL,-,"limping, moving very slowly",,
in0241,2000-09-12,17:35,E-083,split penis,,penis,-,none,,
in0242,2000-09-13,7:55,A-081,"big teats, seems to carry milk",,teats,-,none,,
in0243,2000-09-16,6:30,X-018,"foot missing, wound healed",snare,RHL,-,"limping badly, not standing on the leg","seems totally healed, foot was probably cut off long time ago",
in0244,2000-09-24,18:00,L-088,"cut, fresh",,"left foot, just above balls of foot",-,limping,,
in0245,2000-10-07,17:32,E-094,puncture hole,hy?,le si of tail root,2x2,-,,
in0246,2000-10-21,18:00,M-137,"breathing in strange way, like bronchitis",disease,lung ?,-,"röchelt, like bronchitis",,
in0247,2000-10-24,18:45,A-081,?,,RHL,-,"limping badly, not standing on the leg",,
in0248,2000-10-29,8:51,A-054,"wound/quite deep hole, not very fresh",,LHL,20,-,,
in0249,2000-11-24,8:33,A-116,2 puncture holes each,hy?,"left shoulder, behind ri ear and between ears, back",2x2 each,"wa slowly, looks depressed",,
in0250,2000-11-24,9:30,A-051,limping,,LHL,-,limping badly,,
in0251,2000-12-04,17:45,L-106,puncture hole,hy,between ears,3x3,-,,
in0252,2000-12-04,17:48,L-106,puncture hole,hy,bh le ear,2x2,-,,
in0253,2000-12-04,17:50,L-135,puncture hole,hy,back,2x3,-,,
in0254,2000-12-05,8:00,M-046,fresh open wound,hy,"bum, left side",3x5,-,,
in0255,2001-07-11,7:05,L-010,swollen penis,"copulation, parturition",penis,-,none,,
in0256,2001-07-14,16:52,L-112,split penis,"copulation, parturition",penis,-,none,,
in0257,2001-08-02,7:05,L-105,3 open wounds,?,"le hip, le upper HL, right hip","le upper hl 3x3, le hip: 2x1, ri hip: 1x4",-,"wounds on left side about 15cm apart, thus prob not caused by LI paw",
in0258,2001-08-02,7:15,L-105,split penis,"copulation, parturition",,,,,
in0259,2001-08-05,17:32,M-088,"piece of skin and flesh cut off, piece still hanging",?,upper part of nose,3x5 cm,-,,
in0260,2001-08-08,17:25,L-096,very swollen penis,"copulation, parturition",penis,-,-,,
in0261,2001-08-09,9:00,L-142,wounds on LFL,?,"LFL, above heel",3 time 1x1,limping with LFL,,
in0262,2001-08-11,17:51,M-047,open wound on LHL,,"LHL, below tailtip",4x5 cm,-,,
in0263,2001-08-12,7:37,E-040,open wound,e-006 bi him hardly,"right side, close to hip","2x4, 1x1",lk the wound,"after he ap and bi e-006, she ch him and bi him hard",
in0264,2001-08-12,7:51,E-004,"running, swollen eye",?,left eye,-,"eye running, swollen, cut below eye",,
in0265,2001-08-13,17:33,E-083,"lower left canine broken out completely, tooth still hanging out of mouth",eq?,mouth,-,no obvious consequences,maybe an eq hit her lower jaw,
in0266,2001-08-13,18:46,E-083,split penis,"copulation, parturition",penis,whole length,-,,
in0267,2001-08-22,18:14,L-160,swollen cheek and neck,"disease, Streptococcus",left part of head,,?,"she didn't open the mouth, we don't know whether she can suckle",
in0268,2001-08-23,8:07,E-001,split penis,"copulation, parturition",penis,whole length,-,,
in0269,2001-08-24,18:45,L-114,swollen penis,"copulation, parturition",penis,-,none,,
in0270,2001-08-25,18:17,A-093,limping on LHL,?,LHL,-,does't touch the floor wirh LHL,,
in0271,2001-09-01,17:00,L-160,open wound,"disease, Streptococcus",lower part of neck,15x12cm,-,l-154 grooms wound 18:00,
in0272,2001-09-24,8:10,A-100,limping,?,lhl,,"limping butnot too badly, puts weight on leg when wa",,
