denname,latitude,longitude,altitude,habitat,soil,clan1,clan2,clan3,type1,type2,observer
Lake,-3.17917,35.57083,,GRM,earth,L,,,comm,,
Loeli,-3.17933,35.56900,,GRM,ss,L,,,L-095,,
Labda,-3.17950,35.59150,,GRM,earth,L,,,comm,,
Lappe,-3.17950,35.58633,,GRM,earth,L,,,birth L-008,,
Flake,-3.17952,35.51044,,GRS,earth,F,,,comm?,,
Flake 2,-3.17960,35.50807,,GRS,earth,F,,,comm,,PN
Lemur,-3.18017,35.58583,,HER,earth,L,,,comm,,
Mosi,-3.18017,35.59917,,GRS,earth,M,L,,comm,,
Makamu,-3.18018,35.61000,1781.735,GRM,earth,M,,,communal,,PN+MM
Lengai,-3.18033,35.56867,,GRS,earth,L,,,comm,birth L-084,
Loon,-3.18067,35.59067,,HER,earth,L,,,L-105 + L-106,,
Lumpi 2,-3.18067,35.58383,,GRL,earth,L,,,comm,,
Fear,-3.18100,35.49772,,ERO,earth,F,,,comm,,
Lupo,-3.18100,35.58183,,HER,earth,L,,,comm,,
Lupo 2,-3.18147,35.58160,,GRM,earth,L,,,comm,,
Lumpi,-3.18150,35.58300,,GRM,earth,L,,,comm,,
Large,-3.18157,35.58347,,GRS,earth,L,,,birth L-015,,
Lambada,-3.18167,35.58500,,GRM,earth,L,,,comm,,
Lugi,-3.18167,35.58117,,GRM,earth,L,,,comm,,
Fort,-3.18267,35.49817,,ERO,earth,F,,,comm,,
Milia birth,-3.18267,35.58400,,HER,earth,L,,,birth L-013,,
Nyonga,-3.18333,35.60367,,,,N,,,,,
Lick,-3.18367,35.58767,,HER,earth,L,,,comm,,
Lama,-3.18483,35.59600,,GRS,earth,L,,,comm,,
Lili,-3.18567,35.58500,,HER,earth,L,,,birth L-002,comm,
Simama,-3.18586,35.59449,,GRS,earth,S,,,comm,,
Falafel,-3.18600,35.49800,,GRM,earth,F,,,comm,,
Loriot,-3.18617,35.59467,,GRM,earth,L,,,comm,,
Surprise,-3.18643,35.57220,,GRS,earth,S,,,comm,,
Nero,-3.18650,35.62533,,GRS,earth,N,,,comm,,
Solitaire,-3.18691,35.59214,,GRS,earth,S,,,comm,,
Long grass,-3.18783,35.58417,,GRL,earth,L,,,comm,,
Lucky,-3.18783,35.56500,,GRS,earth,L,,,comm,,
Sakina,-3.18789,35.57246,,,,S,,,comm,,
Loliondo,-3.18900,35.58700,,HER,earth,L,,,L-101,,
Sydney,-3.18922,35.57112,,,,S,,,comm,,
Shamba_edge,-3.18928,35.58498,,GRM,,S,,,comm,,PN
Future,-3.18935,35.51322,,GRS,earth,F,,,comm,,
S-131 birth,-3.18939,35.57137,,HER,earth,S,,,birth S-131,,
Logo,-3.18950,35.58483,,HER,earth,L,,,birth L-011,,
Lome 4,-3.18950,35.59867,,GRS,earth,L,,,comm,,
Furahisha 2,-3.18992,35.50122,,HER,earth,F,,,comm,,
Lome 3,-3.19000,35.59733,,GRS,earth,L,,,comm,,
Nirvana,-3.19008,35.61617,,GRS,earth,N,,,comm,,
Frog,-3.19034,35.50080,,GRS,earth,F,,,,,
Nama,-3.19050,35.61483,,GRM,earth,N,,,N-087 + cubs,,
Nioka,-3.19083,35.61483,,HER,earth,N,,,comm,,
Naropa,-3.19089,35.61111,,GRS,earth,N,,,comm,,
S-166 birth,-3.19169,35.58886,,GRM,earth,S,,,,,
Furahisha,-3.19175,35.50096,,GRM,earth,F,,,comm,,
Luna,-3.19200,35.58667,,HER,earth,L,,,comm,,
Lome 2,-3.19233,35.59700,,GRS,earth,L,,,comm,,
Snoopy,-3.19246,35.56490,,GRS,earth,S,,,comm,,
Farsi,-3.19258,35.51404,,GRM,earth,F,,,comm,,
Lonely,-3.19283,35.56750,,HER,earth,L,,,comm,,
Falcon,-3.19335,35.51014,,,,F,,,comm,,
Fox,-3.19350,35.50017,,ERO,earth,F,,,comm,,
Logozo,-3.19350,35.57300,,GRM,ss,L,S,,comm,,
Looser,-3.19350,35.58933,,GRS,earth,L,,,comm,,
Lotus,-3.19400,35.58783,,GRM,earth,L,,,birth L-006,comm,
Loco,-3.19417,35.56417,,HER,earth,L,,,L-008 + cubs,,
Lome 1,-3.19417,35.59750,,GRS,earth,L,N,,comm,birth N-172,
Flexy,-3.19426,35.49787,,,,F,,,comm,,PN
Namanga,-3.19440,35.59750,,GRS,earth,N,,,birth N-089,,
Furahi 2,-3.19445,35.50088,,GRS,earth,F,,,comm,,
Furahi,-3.19467,35.49950,,GRS,earth,F,,,comm,,
Lasso,-3.19467,35.59533,,GRS,earth,L,,,comm,,
Festive,-3.19468,35.49959,,,,F,,,comm,,PN+LB
Naleng,-3.19489,35.60585,1761.988,grs,earth,N,,,communal,,PN+MM
Lobby,-3.19533,35.59767,,GRM,earth,L,,,comm,,
Shalisha,-3.19614,35.57681,1745.57,GRS,earth,S,,,comm,,PN
Sentinel,-3.19715,35.57960,,GRS,earth,S,,,comm,,PN
Fulani,-3.19617,35.50967,,GRL,earth,F,,,comm,,
S-082 birth,-3.19654,35.57302,,GRS,earth,S,,,birth S-082,,
