date,time,latitude,longitude,location,species,sequence,name,name2,focal_voc,other_sound,sequence_total,sequence_missed_start,sequence_missed_end,sequence_recorded,audioID,original_file,count_original_file,quality,context_behaviour,context_ecology,reply,comments,observer
1997-01-29,18:41,-3.20567,35.57850,Lima,HYC,1,L-041,,WP,,11a,3a,none,8a,au_19970129_1841_L,Tape_N01,01:01,good,after AR at D and interact/GT with all 8 cubs,,n,,OH+BW
1997-02-12,8:48,-3.18017,35.59917,Mosi,HYC,1,M-004,,WP,,"3a, 4s, 4a",,,,,NA,,,6min after M-006 bit M-096 (cub of M-004) severely in head,,n,,
1997-02-12,8:52,-3.18017,35.59917,Mosi,HYC,1,M-004,,WP,,"9a, 1t",,,,,NA,,,after M-004 went to DH of cubs of M-006 and then MW and BI M-006,,n,,
1997-02-12,9:01,-3.18017,35.59917,Mosi,HYC,1,M-004,,WP,,"10a, 1t",,,,,NA,,,"after M-004 again attacked M-006, trying to BI M-006",,n,,
1997-02-26,9:55,-3.17400,35.54733,p,HYC,1,L-009,,WP,,"1a, 11s",,,,,NA,,,"after boundary encounter with Airstrip, while WA away",,y ?,,
1997-02-26,10:50,-3.18267,35.58400,Milia birth,HYC,1,L-095,,WH,,NA,none,none,NA,au_19970226_1050_L,Tape_N01,02:13,poor,"L-095 whining in birth den, L-013 also in den",,n,"sound very poor, lot of cracking sound, vocalisation very faint",OH+BW
1997-03-04,17:22,-3.18100,35.58183,Lupo,HYC,1,L-094,,WP,,9a,,,,,NA,,,"L-004 GN into DH for minutes, L-014 cannot get close",,n,,
1997-03-05,7:15,200m from Lupo den,,p,HYC,1,L-013,,WP,,6s,,,,,NA,,,"after having WA away from Lupo den, just before rush into WI herd",,n,,
1997-03-05,7:32,-3.16400,35.57100,p,HYC,1,L-042,,WP,,"1a, 6s, 1a, 2t",,,,,NA,,,"after LE WI calf, L-042 didn't EA of it",kill,n,before arriving at EQ carc with 2 LI adf EA of it,
1997-03-05,7:38,-3.16400,35.57100,p,HYC,1,L-011,,WP,,"4s, 4a, 1t",,,,,NA,,,"while R towards Engitati together with L-084, L-085, L-014, L-009, L-089 + L-042",kill,n,,
1997-03-05,7:43,-3.15917,35.57217,p,HYC,1,,multiple,WP,"GN, LA",multiple,none,none,multiple,au_19970305_0743_L,Tape_N01,03:00,good,at LI-kill with 2 adf LI,kill,n,,OH+BW
1997-03-05,7:43,-3.15917,35.57217,p,HYC,1,L-009,,WP,GN,"2a, 8s, 3t",2a,none,"8s, 3t",au_19970305_0743_L,Tape_N01,03:00,good,"after AR with L-014, L-042 + L-089 at LI-kill with 2 adf LI",kill,y,,OH+BW
1997-03-05,7:46,-3.15917,35.57217,p,HYC,2,L-042,,WP,GN,"5a, 2s, 1t",none,none,"5a, 2s, 1t",au_19970305_0743_L,Tape_N01,03:00,ok,"after AR with L-014, L-042 + L-089 at LI-kill with 2 adf LI",kill,y,slightly too lourd,OH+BW
1997-03-05,8:14,-3.15917,35.57217,p,HYC,1,L-005,,WP,,"9a, 1s, 1t",,,,,NA,,,while looking in direction of 2 LI adf,kill,n,,
1997-03-05,8:37,-3.15917,35.57217,p,HYC,1,L-009,,WP,,"1a, 6s, 3a, 1t",,,,,NA,,,at EQ carc,kill,n,,
1997-03-07,6:41,-3.18017,35.59917,Mosi,HYC,1,,M-098 or M-099,WP,,9a,,,,,NA,,,M-007 GN into DH,,n,,
1997-03-12,6:43,-3.17633,35.59967,Mzee,HYC,1,,M-098 or M-099,WP,,3a,,,,,NA,,,M-041 GN into DH,,n,,
1997-03-12,6:52,-3.17633,35.59967,Mzee,HYC,1,,M-098 or M-099,WP,,"2a, 1s, 2a, 3s",,,,,NA,,,M-041 GN into DH,,n,,
1997-03-14,8:18,,,p,HYC,1,L-042,,WP,,"1a, 6s, 2a","1a, 1s",none,"5s, 2a",au_19970314_0818_L,Tape_N01,06:52,good,"after encounter with A and meeting L-014, L-010 and L-046",,n,,OH+BW
1997-03-17,7:38,-3.16167,35.55083,p,HYC,1,N-045,,WP,,6s,,,,,NA,,,after being CH hard by L-040 and L-047,,n,"no reaction of L-040 + L-047, they SH, SG, PA, then CH N-045 another 20m",
1997-03-19,18:36,-3.18100,35.58183,Lupo,HYC,1,L-094,,WP,,"8a, 2t",,,,,NA,,,after L-009 GN into DH and L-013 interacts with L-009,,n,,
1997-03-21,21:44,-3.18100,35.58183,Lupo,HYC,1,L-014,,WP,,"1a, 10s, 3a, 1t",,,,,NA,,,"while SI, only L-014, L-080 and L-081 at den",,n,,
1997-03-21,22:41,-3.18100,35.58183,Lupo,HYC,1,L-014,,WP,,"7s, 5a",,,,,NA,,,while WA out of den area together with L-080 + L-81,,n,,
1997-03-22,4:12,-3.18100,35.58183,Lupo,HYC,1,,L-094 or L-095,WP,,5a,,,,,NA,,,after L-014 GN (not into DH),,n,,
1997-03-22,4:49,-3.18100,35.58183,Lupo,HYC,1,L-014,,WP,,"1a, 5s",,,,,NA,,,when L-013 in DH,,n,,
1997-03-22,5:53,-3.18100,35.58183,Lupo,HYC,1,,L-094 or L-095,WP,,4a,,,,,NA,,,,,n,,
1997-03-22,6:17,-3.18100,35.58183,Lupo,HYC,1,L-095,,WP,,4a,,,,,NA,,,,,n,,
1997-03-22,22:14,-3.18100,35.58183,Lupo,HYC,1,L-014,,WP,,"1a, 3s, 1a, 1t",,,,,NA,,,after and during many WPs from Ngoitokitok and Rumbe,,n,,
1997-03-23,22:46,-3.18100,35.58183,Lupo,HYC,1,,L-095?,WP,,5a,,,,,NA,,,"after L-011 GN into DH where L-014, L-094 and L-095 are",,n,L-013 comes immediately and interacts with L-014,
1997-03-23,22:54,-3.18100,35.58183,Lupo,HYC,1,,L-095?,WP,,"2a, 2s, 2a",,,,,NA,,,out of DH where L-014 seems to try to SU L-094,,n,L-013 comes immediately and interacts with L-014,
1997-03-23,22:58,-3.18100,35.58183,Lupo,HYC,1,,L-095?,WP,,7a,,,,,NA,,,out of DH where L-014 seems to try to SU L-094,,n,L-013 comes immediately and interacts with L-014,
1997-03-23,23:04,-3.18100,35.58183,Lupo,HYC,1,,L-095?,WP,,12a,,,,,NA,,,"after 9a, L-013 GU, WA to DH and looks into DH",,n,,
1997-03-24,8:05,-3.18100,35.58183,Lupo,HYC,1,L-042,,WP,,"7a, 1t",,,,,NA,,,after hunting WI calf which was taken over by other Lemalas,kill,n,L-042 LE the kill with L-008 and L-041 and WP,
1997-03-26,2:24,-3.18100,35.58183,Lupo,HYC,1,L-095,,WP,,5a,,,,,NA,,,"L-013 GU, SF G L-14 and L-094 (L)",,n,,
1997-03-26,2:26,-3.18100,35.58183,Lupo,HYC,1,L-095,,WP,,1a,,,,,NA,,,,,n,,
1997-03-26,2:26,-3.18100,35.58183,Lupo,HYC,1,L-095,,WP,,1a,,,,,NA,,,"L-013 continues SF G L-014 (L), then LD, L-095 comes out of DH",,n,,
1997-03-26,2:56,-3.18100,35.58183,Lupo,HYC,1,L-095,,WP,,1a,,,,,NA,,,"L-013 playing with L-094, NR of L-013 to WP of L-095",,n,,
1997-03-26,2:56,-3.18100,35.58183,Lupo,HYC,1,L-095,,WP,,"2a, 3s, 1a, 1s",,,,,NA,,,"L-013 playing with L-094, NR of L-013 to WP of L-095",,n,,
1997-03-26,3:01,-3.18100,35.58183,Lupo,HYC,1,L-095,,WP,,"4a, 3s",,,,,NA,,,"L-013 playing with L-094, NR of L-013 to WP of L-095",,n,,
1997-03-26,3:13,-3.18100,35.58183,Lupo,HYC,1,L-095,,WP,,5a,,,,,NA,,,"L-013 (L 10m away) LH, L-015 is WA around and GN all the time",,n,,
1997-03-26,3:16,-3.18100,35.58183,Lupo,HYC,1,L-095,,WP,,"2a, 3s, 2a",,,,,NA,,,"L-013 (L 10m away) LH, L-015 is WA around and GN all the time",,n,,
1997-03-26,4:39,-3.18100,35.58183,Lupo,HYC,1,L-095,,WP,,3a,,,,,NA,,,"L-013 (L by DH) LH, L-015 is WA around and GN all the time",,n,,
1997-03-26,5:38,-3.18100,35.58183,Lupo,HYC,1,L-094,,WP,,2a,,,,,NA,,,"while L-014 LK L-094, L-015 standing parallel, after WP, L-015 WA away",,n,,
1997-03-26,6:25,-3.18100,35.58183,Lupo,HYC,1,,L-094 or L-095,WP,,5a,,,,,NA,,,NR,,n,,
1997-03-26,6:47,-3.18100,35.58183,Lupo,HYC,1,L-095,,WP,,"2a, 1s, 7a",,,,,NA,,,L-013 turns H towards DH,,n,,
1997-03-26,6:50,-3.18100,35.58183,Lupo,HYC,1,L-095,,WP,,3a,,,,,NA,,,after L-094 YE because L-015 BI NK L-094 while playing,,n,,
1997-03-26,7:43,-3.18100,35.58183,Lupo,HYC,1,L-095,,WP,,1a,,,,,NA,,,"L-013 AP, SV L-014 (SU L-094 in DH)",,n,,
