name,origin,destination,date,comments
M-453,M,M,2021-07-27,
M-455,M,N,2021-09-26,
M-464,M,N,2022-03-21,
M-470,M,N,2022-07-05,
M-472,M,M,2023-11-19,
M-474,M,E,2022-12-12,
M-491,M,N,2023-10-08,
M-501,M,M,2023-07-26,
N-042,N,M,1997-04-15,
N-043,N,L,1997-01-22,
N-044,X,N,1996-04-12,
N-045,N,M,1997-03-28,
N-046,N,M,1998-04-02,
N-047,N,E,1999-12-14,
N-047,E,M,2007-03-17,
N-082,N,S,2001-08-14,
N-082,S,N,2002-07-18,
N-083,N,S,2001-09-19,
N-083,S,Y,2002-12-11,
N-088,N,S,2001-09-08,
N-093,N,X,2001-09-11,
N-094,N,S,2001-09-07,
N-103,N,T,2003-08-01,
N-109,N,N,2005-05-16,
N-115,N,M,2007-11-29,
N-118,N,T,2007-11-11,
N-120,N,U,2008-03-19,
N-123,N,M,2007-12-28,
N-125,N,N,2009-04-14,
N-125,N,S,2015-07-28,
N-129,N,N,2008-04-19,
N-129,N,T,2009-06-05,
N-137,N,T,2011-06-06,
N-138,N,T,2011-06-02,
N-139,N,T,2010-07-29,
N-144,N,N,2011-02-09,
N-144,N,M,2013-04-08,
N-147,N,T,2010-08-28,
N-148,N,T,2010-08-28,
N-155,N,N,2011-07-21,
N-164,N,S,2013-05-06,
N-173,N,M,2013-02-15,
N-173,M,E,2014-12-10,
N-176,N,S,2013-05-12,
N-177,N,S,2013-05-07,
N-183,N,A,2014-06-06,
N-196,N,M,2015-07-30,
N-198,N,M,2015-07-30,
N-211,N,M,2016-11-18,
N-221,N,N,2016-11-19,
N-228,N,M,2018-02-08,
N-238,N,M,2019-02-25,
N-240,N,M,2017-10-14,
N-254,N,F,2020-02-18,
N-257,N,M,2021-04-14,based on conception date of sired cub
N-261,N,M,2021-09-04,
N-275,N,L,2021-09-15,
N-282,N,F,2022-02-23,
N-292,N,E,2023-02-11,
N-296,N,E,2024-07-02,
N-297,N,T,2024-06-03,as of 2024-07-02 only seen twice in T-territory within a period of two weeks in June 2024
R-040,X,R,1997-07-17,
R-080,R,M,1999-04-06,
