year,month,day,Season,Block,WI,EQ,GG,TG,BU,KO,WB,WH,OS,ELA,ELE,RH,Hippo,KB,CC,HY,LI,cheetah,BJ,GJ,SSJ,FX,serval,leopard,baboon,vervet,hare,bushbuck,reedbuck,klipspringer,secretary bird,honey badger
1993,4,NA,wet,4,3,0,0,0,300,0,0,0,4,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1993,4,NA,wet,5,1107,1143,181,234,435,4,0,40,15,1,0,1,0,0,NA,34,7,NA,3,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1993,4,NA,wet,6,2337,1063,191,62,228,34,0,16,16,0,0,0,0,2,NA,1,0,NA,2,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1993,9,NA,dry,1,2005,856,178,424,806,14,0,20,1,6,1,4,26,3,13,6,0,NA,4,9,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA
1993,9,NA,dry,2,2084,900,100,214,445,55,0,2,6,0,1,0,13,0,7,0,16,NA,0,0,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA
1993,9,NA,dry,3,0,0,94,128,454,18,0,2,8,0,0,0,0,5,0,2,2,NA,0,0,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA
1993,9,NA,dry,4,0,13,17,15,499,0,0,0,14,4,0,0,0,1,0,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA
1993,9,NA,dry,5,0,1094,246,137,764,2,0,16,5,0,1,0,0,16,7,1,2,NA,0,2,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA
1993,9,NA,dry,6,88,328,61,153,0,8,0,11,1,0,0,0,0,8,9,3,0,NA,1,4,NA,0,0,NA,NA,NA,NA,0,NA,NA,2,NA
1994,9,NA,dry,1,1981,1415,166,315,300,13,11,11,0,0,4,2,36,2,0,6,12,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
