date,clan,name,higher,lower,description,reason,comments
2010-03-18,L,L-373,L-372,L-329,"L-373 joins hierarchy in rank 8, between L-372 (adopted cub) and L-329",adoption,
2010-04-14,L,L-084,L-257,L-370,"L-084+L-370+L-295 increase to ranks 78-80, between L-257 and L-156",female coup,
2010-04-14,L,L-370,L-084,L-295,"L-084+L-370+L-295 increase to ranks 78-80, between L-257 and L-156",female coup,
2010-04-14,L,L-295,L-370,L-156,"L-084+L-370+L-295 increase to ranks 78-80, between L-257 and L-156",female coup,
2010-06-30,A,A-286,A-285,A-257,"A-286 joins hierarchy in rank 21, between A-285 (adopted cub) and A-257",adoption,
2010-07-18,T,T-144,T-158,T-124,"T-144 assigned rank 9, between T-158 and T-124",mother unknown,
2010-08-28,T,N-147,N-129,N-148,"N-147+N-148 immigrate, join in ranks 30+31, between N-129 and N-139",male coup,
2010-08-28,T,N-148,N-147,N-139,"N-147+N-148 immigrate, join in ranks 30+31, between N-129 and N-139",male coup,
2010-10-13,S,E-165,M-286,L-299,"M-286+E-165+L-299 immigrate, assigned ranks 44-46",immigrate on same date,
2010-10-13,S,L-299,E-165,last,"M-286+E-165+L-299 immigrate, assigned ranks 44-46",immigrate on same date,
2010-10-13,S,M-286,M-298,E-165,"M-286+E-165+L-299 immigrate, assigned ranks 44-46",immigrate on same date,
2010-10-23,S,M-282,M-298,M-286,"M-282+M-297 immigrate, M-297 joins in rank 47, between L-278 and M-298, M-282 joins in rank 49, between M-298 and M-286",immigrate on same date+male coup,
2010-10-23,S,M-297,L-278,M-298,"M-282+M-297 immigrate, M-297 joins in rank 47, between L-278 and M-298, M-282 joins in rank 49, between M-298 and M-286",immigrate on same date+male coup,
2010-12-07,S,M-197,M-181,M-254,"M-197 drops to rank 40, between M-181 and M-254",male coup,
2010-12-11,S,S-144,S-164,M-158,"S-144 drops to rank 40, the last position among natives",female coup,
2011-01-20,S,M-158,M-181,M-197,"M-158 drops to rank 43, between M-181 and M-197",male coup,
2011-02-01,M,M-099,M-351,M-353,"M-099+M-353+M-354 overtaken by M-272, M-358, M-359, M-273 + M-248, M-350 and M-351, drop to ranks 31-33, between M-351 and M-249",female coup,
2011-02-01,M,M-353,M-099,M-354,"M-099+M-353+M-354 overtaken by M-272, M-358, M-359, M-273 + M-248, M-350 and M-351, drop to ranks 31-33, between M-351 and M-249",female coup,
2011-02-01,M,M-354,M-353,M-249,"M-099+M-353+M-354 overtaken by M-272, M-358, M-359, M-273 + M-248, M-350 and M-351, drop to ranks 31-33, between M-351 and M-249",female coup,
2011-02-26,M,M-350,M-351,M-099,M-350 overtaken by sibling M-351,litter dominance switch,
2011-06-06,T,N-137,N-148,N-138,"N-137 joins hierarchy, N-137+N-138 overtake N-139",male immigration+coup,
2011-06-06,T,N-139,N-138,last,"N-137 joins hierarchy, N-137+N-138 overtake N-139",male immigration+coup,
2011-07-20,N,M-277,E-173,M-262,M-277+M-262 immigrate; M-277 dominant over M-262,immigrate on same date,
2011-08-03,S,L-298,L-289,last,"L-298+L-316 immigrate, L-316 dominant over L-298 and L-289, L-289 drops to rank 54, between L-316 and L-298",immigrate on same date+male coup,
2011-08-03,S,L-316,L-299,L-289,"L-298+L-316 immigrate, L-316 dominant over L-298 and L-289, L-289 drops to rank 54, between L-316 and L-298",immigrate on same date+male coup,
2011-08-18,M,M-279,M-260,M-361,"M-279+M-361 drop to rank 18+19, between M-260 and M-239",female coup,
