date,clan,name,higher,lower,description,reason,comments
2019-11-16,E,E-166,E-283,E-281,"E-219 dominates E-259; on 2020-03-10, E-166 + E-281 dominated by E-219, E-283 + E-284",female coup,
2019-11-16,E,E-281,E-166,E-259,"E-219 dominates E-259; on 2020-03-10, E-166 + E-281 dominated by E-219, E-283 + E-284",female coup,
2019-11-16,E,E-259,E-281,E-218,"E-219 dominates E-259; on 2020-03-10, E-166 + E-281 dominated by E-219, E-283 + E-284",female coup,
2020-03-05,A,A-257,A-338,A-441,A-257 is overtaken by A-338,male coup,
2020-03-30,E,E-219,E-284,E-305,E-284 dominates E-219; E-219 still dominates E-283,female coup,
2020-03-30,E,E-305,E-219,E-306,E-284 dominates E-219; E-219 still dominates E-283,female coup,
2020-03-30,E,E-306,E-305,E-283,E-284 dominates E-219; E-219 still dominates E-283,female coup,
2020-07-23,S,S-374,S-373,S-375,"S-374 joins hierarchy in rank 11, between S-373 (adopted cub) and S-375",adoption,
2020-07-23,S,S-375,S-374,S-286,"S-375 joins hierarchy in rank 12, between S-374 and S-286",adoption,
2020-07-24,A,A-458,A-484,A-436,A-458 submissive to A-470+A-476+A-313 -> dropped below A-238 matriline,female/natal male coup,
2020-12-06,A,A-445,A-484,A-529,A-238 matriline overtakes A-445+A-529+A-470+A-476+A-541,female coup,
2020-12-06,A,A-529,A-445,A-470,A-238 matriline overtakes A-445+A-529+A-470+A-476+A-541,female coup,
2020-12-06,A,A-470,A-529,A-476,A-238 matriline overtakes A-445+A-529+A-470+A-476+A-541,female coup,
2020-12-06,A,A-476,A-470,A-541,A-238 matriline overtakes A-445+A-529+A-470+A-476+A-541,female coup,
2020-12-06,A,A-541,A-476,A-436,A-238 matriline overtakes A-445+A-529+A-470+A-476+A-541,female coup,
2021-03-01,E,E-245,E-312,E-299,E-285 dominates E-245. E-299 possibly also dominates E-245 but not adjusted,female coup,
2021-03-01,E,E-299,E-245,E-184,E-285 dominates E-245. E-299 possibly also dominates E-245 but not adjusted,female coup,
2021-03-11,S,S-235,S-341,S-380,S-165 matriline overtakes S-235 matriline,female coup,
2021-03-11,S,S-380,S-235,S-353,S-165 matriline overtakes S-235 matriline,female coup,
2021-03-11,S,S-353,S-380,S-354,S-165 matriline overtakes S-235 matriline,female coup,
2021-03-11,S,S-354,S-353,S-259,S-165 matriline overtakes S-235 matriline,female coup,
2021-03-16,S,S-292,S-378,S-138,S-193 dominates S-292. We assume that offspring of S-193 (S-378) also dominates S-292,female/natal male coup,
2021-03-16,S,S-224,S-185,S-161,S-185 dominates S-224. S-224 dominates S-312 -> S-224 is below S-185 but probably still dominates S-161. We assume that S-184 and her offspring (S-382+S-363) also dominate S-224,female/natal male coup,
2021-09-09,S,A-398,A-390,A-399,A-399 dominates A-369+A-374. We assume that A-398 also dominates A-369+A-374 and that A-398+A-399 both also dominate A-373,male coup,
2021-09-09,S,A-399,A-398,A-373,A-399 dominates A-369+A-374. We assume that A-398 also dominates A-369+A-374 and that A-398+A-399 both also dominate A-373,male coup,
2021-10-12,L,S-316,S-275,N-275,S-316 dominates N-275,male coup,
2022-02-16,L,L-441,L-508,L-501,L-441 RE when L-508 AP buffalo kill,female/natal male coup,
2022-02-21,L,L-474,L-470,L-543,L-474 dominated by L-429 when greeting L-462. A few days later also dominated by L-514 (son of L-428). We assumed that L-474 and her cub/son L-543 are dominated by L-428 and L-429 matrilines,female coup,
2022-02-21,L,L-543,L-474,L-519,L-474 dominated by L-429 when greeting L-462. A few days later also dominated by L-514 (son of L-428). We assumed that L-474 and her cub/son L-543 are dominated by L-428 and L-429 matrilines,female coup,
2022-02-23,L,S-275,S-316,N-275,S-316 dominates S-275,male coup,
2023-01-20,L,L-329,L-541,L-542,L-329 dominated by L-541,(subadult)female coup,
2023-01-23,L,L-519,L-510,L-439,L-519 dominated by L-510+L-541; on 2023-07-28 also dominated by L-535 (in coalition with L-548+L-513),female coup,
2023-01-24,L,L-546,L-470,L-545,L-498+L-463+L-429+L-428 matrilines dominate L-545+L-546,female coup,
2023-01-24,L,L-545,L-546,L-474,L-498+L-463+L-429+L-428 matrilines dominate L-545+L-546,female coup,
2023-02-18,L,S-312,T-200,X-151,T-200 dominates S-312,male coup,
2023-06-24,S,S-234,S-354,S-408,S-235 matriline overtakes S-234 matriline,female coup,
2023-06-24,S,S-408,S-234,S-409,S-235 matriline overtakes S-234 matriline,female coup,
2023-06-24,S,S-409,S-408,S-377,S-235 matriline overtakes S-234 matriline,female coup,
2023-06-24,S,S-377,S-409,S-365,S-235 matriline overtakes S-234 matriline,female coup,
2023-06-24,S,S-365,S-377,S-385,S-235 matriline overtakes S-234 matriline,female coup,
2023-06-24,S,S-385,S-365,S-386,S-235 matriline overtakes S-234 matriline,female coup,
2023-06-24,S,S-386,S-385,S-259,S-235 matriline overtakes S-234 matriline,female coup,
2023-11-03,L,L-545,L-546,L-474,L-546 dominates L-545,(subadult)male coup,
2023-11-19,M,M-453,M-515,M-431,M-453 drops below M-451 matriline,female/natal male coup,
2024-03-15,M,M-414,M-519,M-538,M-416 matriline overtakes M-414 matriline,female coup,
2024-03-15,M,M-538,M-414,M-523,M-416 matriline overtakes M-414 matriline,female coup,
2024-03-15,M,M-523,M-538,M-500,M-416 matriline overtakes M-414 matriline,female coup,
2024-03-15,M,M-500,M-523,M-501,M-416 matriline overtakes M-414 matriline,female coup,
2024-03-15,M,M-501,M-500,M-486,M-416 matriline overtakes M-414 matriline,female coup,
2024-03-15,M,M-486,M-501,M-534,M-416 matriline overtakes M-414 matriline,female coup,
2024-03-15,M,M-534,M-486,M-517,M-416 matriline overtakes M-414 matriline,female coup,
2024-03-15,M,M-517,M-534,M-487,M-416 matriline overtakes M-414 matriline,female coup,
2024-03-15,M,M-487,M-517,M-550,M-416 matriline overtakes M-414 matriline,female coup,
2024-03-15,M,M-550,M-487,M-525,M-416 matriline overtakes M-414 matriline,female coup,
2024-03-15,M,M-525,M-550,M-530,M-416 matriline overtakes M-414 matriline,female coup,
