"ID","origin","destination","date"
"L-115","A","L",2005-06-12
"N-154","N","M",2005-06-12
"N-155","N","E",2005-06-12
"N-158","N","T",2005-07-12
"S-086","S","F",2005-07-12
"F-097","F","N",2005-08-12
"F-098","F","M",2005-08-12
"N-161","N","T",2005-08-12
"A-252","A","F",2005-09-12
"A-253","A","T",2005-09-12
"M-208","M","N",2005-09-12
"E-107","A","N",2005-10-12
"M-210","M","A",2005-11-12
"M-211","M","N",2005-11-12
"L-129","E","L",2005-12-12
"M-147","A","E",2005-12-12
"E-119","E","N",2006-01-12
"F-101","F","T",2006-01-12
"F-103","F","A",2006-01-12
"T-104","T","A",2006-01-12
"A-256","A","A",2006-01-12
"A-258","A","A",2006-01-12
"A-247","M","A",2006-02-12
"E-121","E","S",2006-02-12
"L-192","L","A",2006-02-12
"M-215","M","F",2006-02-12
"N-139","A","T",2006-02-12
"F-104","F","L",2006-03-12
"F-106","F","A",2006-03-12
"M-168","F","M",2006-03-12
"S-089","S","M",2006-03-12
"A-261","A","A",2006-03-12
"T-106","T","T",2006-03-12
"L-093","N","M",2006-04-12
"F-108","F","L",2006-05-12
"A-269","A","L",2006-06-12
"L-195","L","L",2006-06-12
"E-126","E","S",2006-07-12
"F-110","F","L",2006-07-12
"L-197","L","A",2006-07-12
"S-089","M","N",2006-07-12
"A-162","A","S",2006-08-12
"M-147","E","F",2006-08-12
"L-200","L","M",2006-09-12
"A-273","A","F",2006-10-12
"A-274","A","N",2006-10-12
"E-127","E","N",2006-10-12
"L-202","L","N",2006-10-12
"M-225","M","A",2006-10-12
"A-277","A","N",2006-11-12
"M-226","M","E",2006-11-12
"N-170","N","A",2006-11-12
"N-171","N","E",2006-11-12
"L-203","L","L",2006-11-12
"L-204","L","L",2006-11-12
"L-206","L","A",2006-12-12
"M-228","M","T",2006-12-12
"S-095","S","F",2006-12-12
"A-283","A","A",2006-12-12
"A-289","A","F",2007-01-12
"A-291","A","M",2007-01-12
"M-234","M","F",2007-01-12
"M-235","M","T",2007-01-12
"N-174","N","A",2007-01-12
"M-233","M","M",2007-01-12
"A-293","A","F",2007-03-12
"M-237","M","N",2007-03-12
"T-112","T","M",2007-03-12
"F-115","F","A",2007-04-12
"F-117","F","M",2007-04-12
"A-170","L","S",2007-05-12
"E-129","E","A",2007-05-12
"L-210","L","A",2007-06-12
"N-158","T","L",2007-06-12
"N-174","A","N",2007-06-12
"A-162","S","E",2007-07-12
"A-298","A","N",2007-07-12
"A-297","A","A",2007-07-12
"A-300","A","E",2007-08-12
"T-114","T","F",2007-08-12
"A-306","A","F",2007-09-12
"F-119","F","A",2007-09-12
"L-211","L","N",2007-09-12
"M-243","M","A",2007-09-12
"M-244","M","S",2007-09-12
"M-245","M","S",2007-09-12
"T-115","T","F",2007-10-12
"A-307","A","A",2007-10-12
"A-054","A","N",2007-11-12
"A-230","F","A",2007-11-12
"E-133","E","M",2007-11-12
"E-135","E","L",2007-11-12
"F-122","F","S",2007-11-12
"M-234","F","A",2007-11-12
"M-248","M","T",2007-11-12
"N-180","N","M",2007-11-12
"T-117","T","E",2007-11-12
"L-214","L","L",2007-11-12
"E-138","E","L",2007-12-12
"E-139","E","F",2007-12-12
"F-123","F","E",2007-12-12
"L-217","L","M",2007-12-12
"S-101","S","M",2007-12-12
"M-249","M","M",2007-12-12
"A-308","A","L",2008-01-12
"A-309","A","F",2008-01-12
"M-233","M","N",2008-01-12
"N-182","N","E",2008-01-12
"A-306","F","E",2008-02-12
"E-133","M","S",2008-02-12
"A-310","A","A",2008-02-12
"M-228","T","E",2008-03-12
"N-184","N","T",2008-03-12
"A-311","A","L",2008-04-12
"E-133","S","N",2008-04-12
"A-306","E","S",2008-05-12
"A-314","A","N",2008-05-12
"F-128","F","M",2008-05-12
"L-223","L","M",2008-05-12
"L-224","L","M",2008-05-12
"T-118","T","E",2008-05-12
"A-170","S","A",2008-06-12
"E-144","E","L",2008-06-12
"L-228","L","S",2008-06-12
"L-229","L","S",2008-06-12
"L-231","L","N",2008-06-12
"M-255","M","S",2008-06-12
"L-230","L","L",2008-06-12
"M-254","M","M",2008-06-12
"T-121","T","E",2008-07-12
"L-232","L","L",2008-07-12
"A-320","A","M",2008-08-12
"A-321","A","L",2008-08-12
"A-322","A","N",2008-08-12
"M-259","M","E",2008-08-12
"M-260","M","S",2008-08-12
"N-186","N","M",2008-08-12
"N-187","N","S",2008-08-12
"M-262","M","M",2008-09-12
"E-149","E","S",2008-10-12
"L-235","L","T",2008-10-12
"S-110","S","T",2008-10-12
"A-327","A","S",2008-11-12
"E-150","E","A",2008-11-12
"L-230","L","F",2008-11-12
"T-106","T","A",2008-11-12
"T-118","E","T",2008-12-12
"E-151","E","L",2009-01-12
"E-152","E","A",2009-01-12
"F-133","F","A",2009-01-12
"A-331","A","A",2009-01-12
"N-194","N","N",2009-01-12
"L-238","L","S",2009-02-12
"M-264","M","A",2009-02-12
